time,BPS,BPS-d8,BPSG,BPSG-d8
0:08:27,21.660,5488.690,0.000,1466.210
0:13:27,16.400,4063.410,0.000,1890.600
0:31:27,8.110,2102.790,10.970,2093.390
0:57:27,9.800,1949.400,76.350,3683.250
1:58:27,4.740,872.160,28.350,4515.920
3:57:27,0.000,264.860,34.050,4755.200
5:59:27,0.000,107.030,36.370,5057.080
7:58:27,0.000,54.420,38.890,5033.360
9:58:27,0.000,31.770,37.340,4717.260
23:58:27,0.000,9.890,33.760,4011.440
32:56:27,0.000,11.450,35.710,4545.360
47:01:27,0.000,9.470,33.570,4216.460
57:02:27,0.000,9.920,36.880,4153.320